pokedex_number,name,generation,type1,type2,against_normal,against_grass,against_fire,against_water,against_electric,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,hp,attack,defense,sp_attack,sp_defense,speed,height_m,weight_kg,is_legendary,base_egg_steps,capture_rate,experience_growth
112,Rhydon,1,ground,rock,0.5,4,0.5,4,0,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,105,130,120,45,45,40,1.9,120.0,0,5120,60,1250000
113,Chansey,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,250,5,5,35,105,50,1.1,34.6,0,10240,30,800000
114,Tangela,1,grass,,1,0.5,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,65,55,115,100,40,60,1.0,35.0,0,5120,45,1000000
115,Kangaskhan,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,105,95,80,40,80,90,2.2,80.0,0,5120,45,1000000
115,Mega Kangaskhan,6,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,105,125,100,60,100,100,2.2,100,0,5120,45,1000000
116,Horsea,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,30,40,70,70,25,60,0.4,8.0,0,5120,225,1000000
117,Seadra,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,55,65,95,95,45,85,1.2,25.0,0,5120,75,1000000
118,Goldeen,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,45,67,60,35,50,63,0.6,15.0,0,5120,225,1000000
119,Seaking,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,80,92,65,65,80,68,1.3,39.0,0,5120,60,1000000
120,Staryu,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,30,45,55,70,55,85,0.8,34.5,0,5120,225,1250000
121,Starmie,1,water,psychic,1,2,0.5,0.5,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,60,75,85,100,85,115,1.1,80.0,0,5120,60,1250000
122,Mr. Mime,1,psychic,fairy,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,40,45,65,100,120,90,1.3,54.5,0,6400,45,1000000
122,Galarian Mr. Mime,8,ice,psychic,1,1,2,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,50,65,65,90,90,100,1.4,56.8,0,6400,45,1000000
123,Scyther,1,bug,flying,1,0.25,2,1,2,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,70,110,80,55,80,105,1.5,56.0,0,6400,45,1000000
124,Jynx,1,ice,psychic,1,1,2,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,65,50,35,115,95,95,1.4,40.6,0,6400,45,1000000
125,Electabuzz,1,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,65,83,57,95,85,105,1.1,30.0,0,6400,45,1000000
126,Magmar,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,65,95,57,100,85,93,1.3,44.5,0,6400,45,1000000
127,Pinsir,1,bug,,1,0.5,2,1,1,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,65,125,100,55,70,85,1.5,55.0,0,6400,45,1250000
127,Mega Pinsir,6,bug,flying,1,0.25,2,1,2,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,65,155,120,65,90,105,1.7,59.0,0,6400,45,1250000
128,Tauros,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,75,100,95,40,70,110,1.4,88.4,0,5120,45,1250000
128,Combat Breed Paldean Tauros,9,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,75,110,105,30,70,100,1.4,115.0,0,5120,45,1250000
128,Blaze Breed Paldean Tauros,9,fighting,fire,1,0.5,0.5,2,1,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,75,110,105,30,70,100,1.4,85.0,0,5120,45,1250000
128,Aqua Breed Paldean Tauros,9,fighting,water,1,2,0.5,0.5,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,75,110,105,30,70,100,1.4,110.0,0,5120,45,1250000
129,Magikarp,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,20,10,55,15,20,80,0.9,10.0,0,1280,255,1250000
130,Gyarados,1,water,flying,1,1,0.5,0.5,4,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,95,125,79,60,100,81,6.5,235.0,0,1280,45,1250000
130,Mega Gyarados,6,water,dark,1,2,0.5,0.5,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,95,155,109,70,130,81,6.5,305,0,1280,45,1250000
131,Lapras,1,water,ice,1,2,1,0.5,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,130,85,80,85,95,60,2.5,220.0,0,10240,45,1250000
132,Ditto,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,48,48,48,48,48,48,0.3,4.0,0,5120,35,1000000
133,Eevee,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,55,55,50,45,65,55,0.3,6.5,0,8960,45,1000000
134,Vaporeon,1,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,130,65,60,110,95,65,1.0,29.0,0,8960,45,1000000
135,Jolteon,1,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,65,65,60,110,95,130,0.8,24.5,0,8960,45,1000000
136,Flareon,1,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,65,130,60,95,110,65,0.9,25.0,0,8960,45,1000000
137,Porygon,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,65,60,70,85,75,40,0.8,36.5,0,5120,45,1000000
138,Omanyte,1,rock,water,0.5,4,0.25,1,2,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,35,40,100,90,55,35,0.4,7.5,0,7680,45,1000000
139,Omastar,1,rock,water,0.5,4,0.25,1,2,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,70,60,125,115,70,55,1.0,35.0,0,7680,45,1000000
140,Kabuto,1,rock,water,0.5,4,0.25,1,2,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,30,80,90,55,45,55,0.5,11.5,0,7680,45,1000000
141,Kabutops,1,rock,water,0.5,4,0.25,1,2,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,60,115,105,65,70,80,1.3,40.5,0,7680,45,1000000
142,Aerodactyl,1,rock,flying,0.5,1,0.5,2,2,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1,80,105,65,60,75,130,1.8,59.0,0,8960,45,1250000
142,Mega Aerodactyl,6,rock,flying,0.5,1,0.5,2,2,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1,80,135,85,70,95,150,2.1,79,0,8960,45,1250000
143,Snorlax,1,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,160,110,65,65,110,30,2.1,460.0,0,10240,25,1250000
144,Articuno,1,ice,flying,1,0.5,2,1,2,1,1,1,0,1,1,0.5,4,1,1,1,2,1,90,85,100,95,125,85,1.7,55.4,1,20480,3,1250000
144,Galarian Articuno,8,psychic,flying,1,0.5,1,1,2,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,90,85,85,125,100,95,1.7,50.9,1,20480,3,1250000
145,Zapdos,1,electric,flying,1,0.5,1,1,1,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1,90,90,85,125,90,100,1.6,52.6,1,20480,3,1250000
145,Galarian Zapdos,8,fighting,flying,1,0.5,1,1,2,2,0.5,1,0,2,2,0.25,1,1,1,0.5,1,2,90,125,90,85,90,100,1.6,58.2,1,20480,3,1250000
146,Moltres,1,fire,flying,1,0.25,0.5,2,2,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,90,100,90,125,85,90,2.0,60.0,1,20480,3,1250000
146,Galarian Moltres,8,dark,flying,1,0.5,1,1,2,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,90,85,90,100,125,90,2.0,66.0,1,20480,3,1250000
147,Dratini,1,dragon,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,41,64,45,50,50,50,1.8,3.3,0,10240,45,1250000
148,Dragonair,1,dragon,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2,61,84,65,70,70,70,4.0,16.5,0,10240,45,1250000
149,Dragonite,1,dragon,flying,1,0.25,0.5,0.5,1,4,0.5,1,0,1,1,0.5,2,1,2,1,1,2,91,134,95,100,100,80,2.2,210.0,0,10240,45,1250000
150,Mewtwo,1,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,106,110,90,154,90,130,2.0,122.0,1,30720,3,1250000
150,Mega Mewtwo X,6,psychic,fighting,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,106,190,100,154,100,130,2.3,127.0,1,30720,3,1250000
150,Mega Mewtwo Y,6,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,106,150,70,194,120,140,1.5,33.0,1,30720,3,1250000
151,Mew,1,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,100,100,100,100,100,100,0.4,4.0,1,30720,45,1059860
152,Chikorita,2,grass,,1,0.5,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,45,49,65,49,65,45,0.9,6.4,0,5120,45,1059860
153,Bayleef,2,grass,,1,0.5,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,60,62,80,63,80,60,1.2,15.8,0,5120,45,1059860
154,Meganium,2,grass,,1,0.5,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,80,82,100,83,100,80,1.8,100.5,0,5120,45,1059860
155,Cyndaquil,2,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,39,52,43,60,50,65,0.5,7.9,0,5120,45,1059860
156,Quilava,2,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,58,64,58,80,65,80,0.9,19.0,0,5120,45,1059860
157,Typhlosion,2,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,78,84,78,109,85,100,1.7,79.5,0,5120,45,1059860
157,Hisuian Typhlosion,8,fire,ghost,0,0.5,0.5,2,1,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5,73,84,78,119,85,95,1.6,69.8,0,5120,45,1059860
158,Totodile,2,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,50,65,64,44,48,43,0.6,9.5,0,5120,45,1059860
159,Croconaw,2,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,65,80,80,59,63,58,1.1,25.0,0,5120,45,1059860
160,Feraligatr,2,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,85,105,100,79,83,78,2.3,88.8,0,5120,45,1059860
161,Sentret,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,35,46,34,35,45,20,0.8,6.0,0,3840,255,1000000
162,Furret,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,85,76,64,45,55,90,1.8,32.5,0,3840,90,1000000
163,Hoothoot,2,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,60,30,30,36,56,50,0.7,21.2,0,3840,255,1000000
164,Noctowl,2,normal,flying,1,0.5,1,1,2,2,1,1,0,1,1,0.5,2,0,1,1,1,1,100,50,50,86,96,70,1.6,40.8,0,3840,90,1000000
165,Ledyba,2,bug,flying,1,0.25,2,1,2,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,40,20,30,40,80,55,1.0,10.8,0,3840,255,800000
166,Ledian,2,bug,flying,1,0.25,2,1,2,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,55,35,50,55,110,85,1.4,35.6,0,3840,90,800000
167,Spinarak,2,bug,poison,1,0.25,2,1,1,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,40,60,40,40,40,30,0.5,8.5,0,3840,255,800000
168,Ariados,2,bug,poison,1,0.25,2,1,1,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,70,90,70,60,70,40,1.1,33.5,0,3840,90,800000
169,Crobat,2,poison,flying,1,0.25,1,1,2,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,85,90,80,70,80,130,1.8,75.0,0,3840,90,1000000
170,Chinchou,2,water,electric,1,2,0.5,0.5,1,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,75,38,38,56,56,67,0.5,12.0,0,5120,190,1250000
171,Lanturn,2,water,electric,1,2,0.5,0.5,1,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,125,58,58,76,76,67,1.2,22.5,0,5120,75,1250000
172,Pichu,2,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,20,40,15,35,35,60,0.3,2.0,0,2560,190,1000000
173,Cleffa,2,fairy,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,50,25,28,45,55,15,0.3,3.0,0,2560,150,800000
174,Igglybuff,2,normal,fairy,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,90,30,15,40,20,15,0.3,1.0,0,2560,170,800000
175,Togepi,2,fairy,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,35,20,65,40,65,20,0.3,1.5,0,2560,190,800000
176,Togetic,2,fairy,flying,1,0.5,1,1,2,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1,55,40,85,80,105,40,0.6,3.2,0,2560,75,800000
177,Natu,2,psychic,flying,1,0.5,1,1,2,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,40,50,45,70,45,70,0.2,2.0,0,5120,190,1000000
178,Xatu,2,psychic,flying,1,0.5,1,1,2,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,65,75,70,95,70,95,1.5,15.0,0,5120,75,1000000
179,Mareep,2,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,55,40,40,65,45,35,0.6,7.8,0,5120,235,1059860
180,Flaaffy,2,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,70,55,55,80,60,45,0.8,13.3,0,5120,120,1059860
181,Ampharos,2,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,90,75,85,115,90,55,1.4,61.5,0,5120,45,1059860
181,Mega Ampharos,6,electric,dragon,1,0.5,0.5,0.5,0.25,2,1,1,2,0.5,1,1,1,1,2,1,0.5,2,90,95,105,165,110,45,1.4,61.5,0,5120,45,1059860
182,Bellossom,2,grass,,1,0.5,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,75,80,95,90,100,50,0.4,5.8,0,5120,45,1059860
183,Marill,2,water,fairy,1,2,0.5,0.5,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,70,20,50,20,50,40,0.4,8.5,0,2560,190,800000
184,Azumarill,2,water,fairy,1,2,0.5,0.5,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,100,50,80,60,80,50,0.8,28.5,0,2560,75,800000
185,Sudowoodo,2,rock,,0.5,2,0.5,2,1,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,70,100,115,30,65,30,1.2,38.0,0,5120,65,1000000
186,Politoed,2,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,90,75,75,90,100,70,1.1,33.9,0,5120,45,1059860
187,Hoppip,2,grass,flying,1,0.25,2,0.5,1,4,0.5,2,0,2,1,1,2,1,1,1,1,1,35,35,40,35,55,50,0.4,0.5,0,5120,255,1059860
188,Skiploom,2,grass,flying,1,0.25,2,0.5,1,4,0.5,2,0,2,1,1,2,1,1,1,1,1,55,45,50,45,65,80,0.6,1.0,0,5120,120,1059860
189,Jumpluff,2,grass,flying,1,0.25,2,0.5,1,4,0.5,2,0,2,1,1,2,1,1,1,1,1,75,55,70,55,95,110,0.8,3.0,0,5120,45,1059860
190,Aipom,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,55,70,55,40,55,85,0.8,11.5,0,5120,45,800000
191,Sunkern,2,grass,,1,0.5,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,30,30,30,30,30,30,0.3,1.8,0,5120,235,1059860
192,Sunflora,2,grass,,1,0.5,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,75,75,55,105,85,30,0.8,8.5,0,5120,120,1059860
193,Yanma,2,bug,flying,1,0.25,2,1,2,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,65,65,45,75,45,95,1.2,38.0,0,5120,75,1000000
194,Wooper,2,water,ground,1,4,0.5,1,0,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,55,45,45,25,25,15,0.4,8.5,0,5120,255,1000000
194,Paldean Wooper,9,poison,ground,1,1,1,2,0,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,55,45,45,25,25,15,0.4,11.0,0,5120,255,1000000
195,Quagsire,2,water,ground,1,4,0.5,1,0,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,95,85,85,65,65,35,1.4,75.0,0,5120,90,1000000
196,Espeon,2,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,65,65,60,130,95,110,0.9,26.5,0,8960,45,1000000
197,Umbreon,2,dark,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,95,65,110,60,130,65,1.0,27.0,0,8960,45,1000000
198,Murkrow,2,dark,flying,1,0.5,1,1,2,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,60,85,42,85,42,91,0.5,2.1,0,5120,30,1059860
199,Slowking,2,water,psychic,1,2,0.5,0.5,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,95,75,80,100,110,30,2.0,79.5,0,5120,70,1000000
199,Galarian Slowking,8,poison,psychic,1,0.5,1,1,1,1,0.25,0.5,2,1,1,1,1,2,1,2,1,0.5,95,65,80,110,110,30,1.8,79.5,0,5120,70,1000000
200,Misdreavus,2,ghost,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,60,60,60,85,85,85,0.7,1.0,0,6400,45,800000
201,Unown,2,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,48,72,48,72,48,48,0.5,5.0,0,10240,225,1000000
202,Wobbuffet,2,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,190,33,58,33,58,33,1.3,28.5,0,5120,45,1000000
203,Girafarig,2,normal,psychic,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,70,80,65,90,65,85,1.5,41.5,0,5120,60,1000000
204,Pineco,2,bug,,1,0.5,2,1,1,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,50,65,90,35,35,15,0.6,7.2,0,5120,190,1000000
205,Forretress,2,bug,steel,0.5,0.25,4,1,1,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,75,90,140,60,60,40,1.2,125.8,0,5120,75,1000000
206,Dunsparce,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,100,70,70,65,65,45,1.5,14.0,0,5120,190,1000000
207,Gligar,2,ground,flying,1,1,1,2,0,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,65,75,105,35,65,85,1.1,64.8,0,5120,60,1059860
208,Steelix,2,steel,ground,0.5,1,2,2,0,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,75,85,200,55,65,30,9.2,400.0,0,6400,25,1000000
208,Mega Steelix,6,steel,ground,0.5,1,2,2,0,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,75,125,230,55,95,30,10.5,740.0,0,6400,25,1000000
209,Snubbull,2,fairy,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,60,80,50,40,40,30,0.6,7.8,0,5120,190,800000
210,Granbull,2,fairy,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,90,120,75,60,60,45,1.4,48.7,0,5120,75,800000
211,Qwilfish,2,water,poison,1,1,0.5,0.5,2,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,65,95,85,55,55,85,0.5,3.9,0,5120,45,1000000
211,Hisuian Qwilfish,8,dark,poison,1,0.5,1,1,1,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,65,95,85,55,55,85,0.5,3.9,0,5120,45,1000000
212,Scizor,2,bug,steel,0.5,0.25,4,1,1,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,70,130,100,55,80,65,1.8,118.0,0,6400,25,1000000
212,Mega Scizor,6,bug,steel,0.5,0.25,4,1,1,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,70,150,140,65,100,75,2.0,125.0,0,6400,25,1000000
213,Shuckle,2,bug,rock,0.5,1,1,2,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,20,10,230,10,230,5,0.6,20.5,0,5120,190,1059860
214,Heracross,2,bug,fighting,1,0.5,2,1,1,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,80,125,75,40,95,85,1.5,54.0,0,6400,45,1250000
214,Mega Heracross,6,bug,fighting,1,0.5,2,1,1,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,80,185,115,40,105,75,1.7,62.5,0,6400,45,1250000
215,Sneasel,2,dark,ice,1,1,2,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,55,95,55,35,75,115,0.9,28.0,0,5120,60,1059860
215,Hisuian Sneasel,8,fighting,poison,1,0.5,1,1,1,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1,55,95,55,35,75,115,0.9,27.0,0,5120,60,1059860
216,Teddiursa,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,60,80,50,50,50,40,0.6,8.8,0,5120,120,1000000
217,Ursaring,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,90,130,75,75,75,55,1.8,125.8,0,5120,60,1000000
218,Slugma,2,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,40,40,40,70,40,20,0.7,35.0,0,5120,190,1000000
219,Magcargo,2,fire,rock,0.5,1,0.25,4,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,60,50,120,90,80,30,0.8,55.0,0,5120,75,1000000
220,Swinub,2,ice,ground,1,2,2,2,0,1,2,0.5,1,1,1,1,1,1,1,1,2,1,50,50,40,30,30,50,0.4,6.5,0,5120,225,1250000
221,Piloswine,2,ice,ground,1,2,2,2,0,1,2,0.5,1,1,1,1,1,1,1,1,2,1,100,100,80,60,60,50,1.1,55.8,0,5120,75,1250000
222,Corsola,2,water,rock,0.5,4,0.25,1,2,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,65,55,95,65,95,35,0.6,5.0,0,5120,60,800000
222,Galarian Corsola,8,ghost,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,60,55,100,65,100,30,0.6,0.5,0,5120,60,800000
223,Remoraid,2,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,35,65,35,65,35,65,0.6,12.0,0,5120,190,1000000
224,Octillery,2,water,,1,2,0.5,0.5,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,75,105,75,105,75,45,0.9,28.5,0,5120,75,1000000
225,Delibird,2,ice,flying,1,0.5,2,1,2,1,1,1,0,1,1,0.5,4,1,1,1,2,1,45,55,45,65,45,75,0.9,16.0,0,5120,45,800000
226,Mantine,2,water,flying,1,1,0.5,0.5,4,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,85,40,70,80,140,70,2.1,220.0,0,6400,25,1250000
227,Skarmory,2,steel,flying,0.5,0.25,2,1,2,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,65,80,140,40,70,70,1.7,50.5,0,6400,25,1250000
228,Houndour,2,dark,fire,1,0.5,0.5,2,1,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,45,60,30,80,50,65,0.6,10.8,0,5120,120,1250000
229,Houndoom,2,dark,fire,1,0.5,0.5,2,1,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,75,90,50,110,80,95,1.4,35.0,0,5120,45,1250000
229,Mega Houndoom,6,dark,fire,1,0.5,0.5,2,1,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,75,90,90,140,90,115,1.9,40.5,0,5120,45,1250000
230,Kingdra,2,water,dragon,1,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,75,95,95,95,95,85,1.8,152.0,0,5120,45,1000000
231,Phanpy,2,ground,,1,2,1,2,0,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,90,60,60,40,40,40,0.5,33.5,0,5120,120,1000000
232,Donphan,2,ground,,1,2,1,2,0,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,90,120,120,60,60,50,1.1,120.0,0,5120,60,1000000
233,Porygon2,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,85,80,90,105,95,60,0.6,32.5,0,5120,45,1000000
234,Stantler,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,73,95,62,85,65,85,1.4,71.2,0,5120,45,1250000
235,Smeargle,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,55,20,35,20,45,75,1.2,58.0,0,5120,45,800000
236,Tyrogue,2,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,35,35,35,35,35,35,0.7,21.0,0,6400,75,1000000
237,Hitmontop,2,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,50,95,95,35,110,70,1.4,48.0,0,6400,45,1000000
238,Smoochum,2,ice,psychic,1,1,2,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,45,30,15,85,65,65,0.4,6.0,0,6400,45,1000000
239,Elekid,2,electric,,1,1,1,1,0.5,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,45,63,37,65,55,95,0.6,23.5,0,6400,45,1000000
240,Magby,2,fire,,1,0.5,0.5,2,1,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,45,75,37,70,55,83,0.7,21.4,0,6400,45,1000000
241,Miltank,2,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,95,80,105,40,70,100,1.2,75.5,0,5120,45,1250000
